feature,dt_without,knn_without,delta_dt,delta_knn,avg_delta
pit_stop_impact,0.8889,0.6333,0.0,-0.1778,-0.0889
average_race_pace,0.8333,0.7556,-0.0556,-0.0556,-0.0556
average_lap_time,0.8889,0.7556,0.0,-0.0556,-0.0278
sector_consistency,0.8889,0.7556,0.0,-0.0556,-0.0278
tire_degradation_rate,0.8889,0.8111,0.0,0.0,0.0
degradation_intermediate,0.8889,0.8111,0.0,0.0,0.0
TrackTemp,0.8889,0.8111,0.0,0.0,0.0
AirTemp,0.8889,0.8111,0.0,0.0,0.0
avg_air_temp,0.8889,0.8111,0.0,0.0,0.0
lap_time_std,0.8889,0.8222,0.0,0.0111,0.0056
consistency_score,0.8889,0.8222,0.0,0.0111,0.0056
best_lap_time,0.8889,0.8222,0.0,0.0111,0.0056
degradation_hard,0.8889,0.8222,0.0,0.0111,0.0056
degradation_medium,0.8889,0.8222,0.0,0.0111,0.0056
